------ Sales Metrics ------
Total Records: 150
Total Revenue: $267869.39

------ Top 5 Products by Quantity Sold ------
Tablet: 123 units
Mouse: 122 units
Monitor: 100 units
Laptop: 88 units
Charger: 87 units

------ Monthly Revenue and Units ------
2024-01: $31531.57, 117 units
2024-02: $61330.72, 151 units
2024-03: $38822.64, 128 units
2024-04: $58394.25, 179 units
2024-05: $36689.65, 163 units
2024-06: $41100.56, 100 units

------ Daily Order Count ------
2024-01-01: 1 orders
2024-01-03: 1 orders
2024-01-06: 1 orders
2024-01-07: 2 orders
2024-01-09: 2 orders
2024-01-10: 2 orders
2024-01-13: 3 orders
2024-01-17: 1 orders
2024-01-22: 2 orders
2024-01-23: 1 orders
2024-01-24: 1 orders
2024-01-25: 2 orders
2024-01-26: 1 orders
2024-01-29: 1 orders
2024-01-30: 1 orders
2024-02-01: 1 orders
2024-02-02: 1 orders
2024-02-03: 2 orders
2024-02-04: 1 orders
2024-02-05: 1 orders
2024-02-09: 1 orders
2024-02-10: 1 orders
2024-02-13: 1 orders
2024-02-16: 2 orders
2024-02-18: 2 orders
2024-02-19: 1 orders
2024-02-20: 1 orders
2024-02-21: 3 orders
2024-02-24: 2 orders
2024-02-25: 1 orders
2024-02-28: 2 orders
2024-02-29: 1 orders
2024-03-06: 1 orders
2024-03-10: 2 orders
2024-03-11: 1 orders
2024-03-12: 2 orders
2024-03-13: 1 orders
2024-03-14: 1 orders
2024-03-15: 1 orders
2024-03-16: 1 orders
2024-03-19: 1 orders
2024-03-20: 2 orders
2024-03-21: 1 orders
2024-03-23: 1 orders
2024-03-24: 2 orders
2024-03-25: 2 orders
2024-03-26: 1 orders
2024-03-28: 2 orders
2024-03-29: 1 orders
2024-03-30: 2 orders
2024-03-31: 1 orders
2024-04-02: 1 orders
2024-04-05: 3 orders
2024-04-06: 1 orders
2024-04-07: 4 orders
2024-04-08: 4 orders
2024-04-09: 1 orders
2024-04-12: 3 orders
2024-04-13: 1 orders
2024-04-15: 1 orders
2024-04-16: 1 orders
2024-04-17: 2 orders
2024-04-20: 1 orders
2024-04-21: 2 orders
2024-04-22: 1 orders
2024-04-23: 1 orders
2024-04-27: 3 orders
2024-04-28: 1 orders
2024-04-30: 1 orders
2024-05-02: 2 orders
2024-05-03: 1 orders
2024-05-06: 2 orders
2024-05-08: 2 orders
2024-05-12: 2 orders
2024-05-13: 1 orders
2024-05-16: 1 orders
2024-05-17: 1 orders
2024-05-19: 1 orders
2024-05-21: 3 orders
2024-05-22: 2 orders
2024-05-23: 1 orders
2024-05-24: 1 orders
2024-05-25: 1 orders
2024-05-26: 2 orders
2024-05-27: 3 orders
2024-05-28: 1 orders
2024-05-31: 1 orders
2024-06-02: 1 orders
2024-06-03: 1 orders
2024-06-05: 2 orders
2024-06-06: 1 orders
2024-06-07: 1 orders
2024-06-08: 1 orders
2024-06-09: 1 orders
2024-06-11: 1 orders
2024-06-12: 2 orders
2024-06-14: 1 orders
2024-06-16: 1 orders
2024-06-18: 1 orders
2024-06-20: 1 orders
2024-06-21: 1 orders
2024-06-24: 1 orders
2024-06-28: 1 orders
